person_id,when_decided_pid
US:173602741,History class
US:205893495,don't know
US:156890521,Awhile
US:145142163,When they were the only party supporting women and civil rights
US:197959305,When I was done with George W Bush.
US:119367737,years ago
US:1911433,1962
US:162822095,"I was raised in a democratic family. My friends & family are mostly democrats, and I respect their views & philosophies."
US:187445237,When Hillary Clinton colluded with Russia while making those samebaccusations against Trump. The Steele Dossier Was Hillary's brainchild and she paid for the entire thing.
US:172544273,After 9/11.
US:193067365,I became closer to the Republican Party during the 2016 elections.
US:165143077,When I learned you had to pick a party to vote at age 18
US:121654045,Na
US:172181269,As a young adult
US:173583521,20 years ago
US:39524742,When I voted for Reagan and began following politics back then.
US:4541375,Probably 30 years ago have my overall beliefs
US:108725141,when i was a child based on information my parents gave me about the party
US:150560389,When democrats began supporting abortion
US:1684571,I don't know
US:25649585,After I escaped the cult I grew up in. Around 23.
US:847351,Within the last 5 yrs.
US:31189999,they run the nation better
US:134491761,In high school
US:40980076,I grew up in a Republican home where my parents believed the values of what the Republican Party stands for.
US:39487202,When I was in high school
US:219765,When I first registered
US:4524173,When I was a young boy.
US:40810649,18 years of age
US:657185,As a teenager back in the 50s
US:4554174,When I was 8 years old I understood the need to politically neutral as a Christian.
US:3803339,The first time I voted at age 18
US:179601253,Probably 10-15 yrs ago
US:198664945,At age to vote
US:1882563,1979
US:112176573,"Pretty much when I was a kid. My folks were strong Repubs, with Reagan getting elected the first political memory I have."
US:189873961,When I registered at 18 years old
US:185768509,I’ve been a Republican my whole life even though my parents were democrats.
US:952128,Have always been
US:44263918,In 1976
US:192998525,When bill Clinton was president
US:124734113,1994
US:155490711,During the first Trump administration
US:171211981,Age 18
US:171770213,The 2016 election
US:39476131,Since I was 18
US:167514971,When I voted for the first time.
US:180176203,Ever since my sister told me who side that I need to be on and who said she and my other family members are voting for
US:40738035,Between 2010 and 3016
US:123309231,"I grew up in a Democratic household and used to be a red hot Democrat myself. That changed after the DNC nominated Clinton without giving the people a chance to nominate who THEY wanted. I left the party in disgust after the convention. I was (and still am) a staunch Sanders supporter and a progressive liberal. The Democratic Party, for all its failing, is still closer to my values and views than the Republican Party is."
US:46301537,2008
US:183010911,Early 20s
US:28811090,When the Dichromats went too Far Left
US:29698917,In college
US:2822153,I used to be a Republican back in the 80s and generally vote for the more conservative candidates. Since both parties are so corrupt I try to choose the lesser of the bad. Since Democrats are soooo far out in left field these days I may never vote for one again.
US:40685102,several years ago.
US:35891660,Years ago
US:131256153,When I listened to Ronald Reagan.
US:143605031,"In my early 20s, maybe 35 years ago."
US:162974847,college
US:30685517,age 18
US:1076474,I used to be Republican
US:164237327,Mid 80s
US:35161517,"1964, when I first voted."
US:2791746,When donald trump ran for president in his first term
US:39219816,When I was 18 & 1st registered to vote
US:41171744,10years ago
US:196247799,In 1982
US:4541450,"When I became a Jehovah's Witness , I wait the Kingdom of God which we pray for in the LORD's prayer"
US:4172882,I have voted for both Democrats and Republicans in the past but mostly Democrats. The first Democratic Presidential candidate I voted for was George McGovern. I volunteered and contributed to President Obama.
US:4404382,High school
US:23751840,When I first saw Democrats turning towards Communism.
US:133681177,"As a teenager, before I could vote."
US:1751898,After I made the terrible mistake of voting for Jimmy Carter
US:2313164,1980
US:127026527,I have always been closer to the Democratic party.
US:2633195,While Joseph Biden was in office.
US:371245,Probably age nine or ten
US:189755537,1980
US:207604,As a teenager
US:134387673,After Jimmy Carter
US:3220182,Al Gore ran for President and I thought he was a great candidate.
US:23451541,In the mid-2000s.
US:633394,My best recollection would be mid 1970's.
US:41834188,My whole life
US:3832827,In high school government class
US:180968957,forever
US:164621497,When Trump was elected the first time
US:1931990,15 years ago
US:1123298,Democrats have developed into the party of hate.
US:38457862,"I was a Progressive, a major party in Vermont, but after Kamala lost I felt I needed to support Dems so last year I started calling myself a Dem not a Prog"
US:43317449,When I registered.
US:2760874,during the past 12 years
US:2451335,I have been thinking about it for years.
US:2632273,I have always felt this way. Right now Republicans are letting Trump do whatever he wants. Democrats actions are quite quiet.
US:41706935,1980
US:149590829,I feel I’m independent the only reason I’m registered republican is so I can vote in the general elections
US:24849922,When Illinois governors stated being jailed for corruption.
US:3014438,"1968, when I was 22"
US:4097218,no clue
US:3314126,When I was a kid
US:1516818,1981
US:39171636,as a teenager
US:166194131,When I saw what the republican party represents. Not the people.
US:159221267,I think it started when I was born
US:155104911,Unsure
US:3333856,When I found out what they stood for
US:181957021,When I registered to vote
US:192035013,Don't remember when
US:126854329,10 years ago
US:40825807,2019
US:175254075,"After the Iran-Contra fiasco. So much hypocrisy, so many lies."
US:44142267,As a child. Our family has always discussed politics and has always been conservative.
US:24441746,Since my children were born.
US:4601704,After the 2nd Bush presidency.
US:1308653,Election 1972 I voted for George McGovern.
US:180375219,I decided in 2015 when president Trump was attacked so viciously. I didn’t want to be associated with the democratic party.
US:146427281,When crook LBJ became President.
US:25440508,It is decided in the moment.
US:183830357,2000
US:139338079,no
US:420955,1975
US:192026243,Early 2024
US:140787159,"When I realized that both political parties are influeced by the money bags in their respective parties, over 20 years ago."
US:123664083,When I was very young
US:2087588,2000
US:1166052,When I was 9 years old. During the 1979 Election cycle.
US:25792496,I'm undecided who side I'm on.
US:41221300,My mid thirties
US:137038457,My momma is one so I become one..
US:27966667,In my teenage and college years
US:128249631,Many years ago
US:2476570,I used to be a republican.
US:139795563,After working to elect JFK as a youngster
US:168169113,During the Viet Nam war
US:31203933,"In 2016, when Trump became the Republican candidate, our whole family took a look at what the Republican Party had become and how we had been deceived for decades. We realized that our beliefs more closely aligned with the Democratic Party. Ethics, morals, honesty, and integrity were important to us and were demonstrated by the Democrats. As a result, every one of us switched parties."
US:187857009,Decades ago
US:104482541,"When I was three, making a speech about protecting the ocean, at my dad’s union meeting."
US:2721894,Since when I registered to vote at 18
US:134002387,High School
US:42343368,When I was at a protest when I was 17
US:156892649,When the economy got worst years ago
US:192968537,Ever since I could vote
US:912764,2008
US:178948509,Before my first chance to vote at age 18.
US:889882,"the republicans have always been crooks since I was a kid, Nixon, Ford, Reagan sold arms for hostages illegally and ruined the economy and ran up the debt"
US:4683826,1981
US:441635,1980 after Carter was President
US:192684055,In college
US:172262549,I am an independent person who will vote for whoever
US:184753335,College
US:40343590,ABOUT 40 YEARS AGO
US:4017243,It seems a bit closer to my beliefs
US:4435846,Both side have key points so it better to vote for party who has more keys that you agree. However more people talk to get in the position then do differently from what they promised when running for office.
US:194182261,1980s
US:103583133,1972
US:182632037,"Seeing all the actions Biden took during his period and President Trump took during his last term,I feel Bidens policies did more harm to the country. It protected illegal immigrants mostly and neglected the safety and security of the nation. As a legal immigrants myself, I don't want to see the country live flooded with criminals."
US:182261,when i was 18
US:4492862,In the early 1980's when the Democrats were throwing everything they had at Ronald Reagan!
US:120749819,Riots of 2020
US:176427911,When I realized that Republicans care only about the ruch
US:1341753,10 years old
US:174100107,1979
US:42327128,when i woke up about 20 years ago
US:134076243,1962
US:2608247,When I was still a child
US:1499653,When the 1st Bush ran for president.
US:192795453,When I turned 18.
US:138817961,In college when I learned how similar the parties are and how they both stifle 3rd parties from gaining traction.
US:27204954,When people put Trump in as the Republican candidate
US:164458227,I have never been close to either party.
US:180309767,I have always voted Democrat since I turned 18.
US:174720893,First Trump administration
US:46464430,"I used to be a Democrat up until 2016, then left the party."
US:191576187,I decided that I was closer to the Democratic party around the time I turned 18 years old and was eligible to vote.
US:2799775,When I started voting.
US:33787292,No comment
US:193606709,1972
US:1877612,"For as long as I was aware that there were two parties, I was a Democrat"
US:3256742,I become a Republican in 1966
US:173993087,When I was a youngster! I’ve never changed my mind. Republicans now are the worst=headless horsemen!
US:172627603,When Nixon was president.
US:236705,"Since the age of twenty, I have been a conservative, and in a perfect world everyone should have an equal opportunity to succeed. I see this as a worthwhile, if impossible, goal. Republicans have usually been more conservative than democrats."
US:1336585,I became a Republican when I was 18 years-old. My parents were democrats and I soon convinced them to become Republicans.
US:148320521,in my teens
US:146297641,as soon AS i WAS 18
US:3267760,high school
US:41582939,When I started really getting into understanding politics and knowing that Democrat have a heart
US:1130966,The first time I voted.
US:3844994,I have always been a republican
US:631179,1973
US:2472694,I do not remember
US:146457207,When the Republicans decided to be facists
US:22705183,this year
US:41996246,I dont remember
US:40465766,"A long time ago. The Republicans have always been on the same page as I. I do not believe in Abortion. I believe GOD created 2 sees, Male and Female. Being a part of the LGBTQ is wrong. A man or a woman should not have sex with someone of the same sex."
US:213911,When I was a teenager
US:4394557,I've been a Republican my whole life.
US:103238395,Carter presidency
US:41861504,When I first started paying attention to politics in the 1990s
US:102935851,Being a Democrat means so many things and when you find justice for all you just open the door and the world makes since for everyone
US:153841617,When Bush II was president.
US:187677027,Many years ago.
US:197513863,2008
US:1480050,When Donald Trump entered politics.
US:496122,1960
US:410508,1990
US:26259095,When I moved to CA and had to declare a party affiliation.
US:193265373,When Trump was elected the first time.
US:181299943,The question wording is confusing
US:44215887,When Trump first ran for president.
US:17467,because my Dad did.
US:4313123,in college
US:107939203,When the Democrats started being crooks
US:187887303,30 years ago
US:1208035,2016
US:163914121,2000
US:201736907,"Cause there ate 2 main choices really,and I am Not a liberal socialist democrat"
US:184641745,When Hillary Clinton ran against Trump
US:1478245,After seeing what Eisenhower did as president
US:173586399,When the Republicans decided Donald Trump was qualified to run for public office.
US:146373717,1976
US:43077358,When I was in my 60s.
US:26462750,when they all starting to make money and forget about the working class
US:28179908,"I grew up with Republican family and church background, which is mostly Republicans"
US:45376208,1977
US:133922905,"During the Clinton administration, watching the GOP drag out impeachment over a private matter."
US:144804129,At about age 8
US:185692789,In 2020
US:181011475,My grandfather was influential in my determining party. Our state and county had so much cronyism and bad decisions in the Democratic Party.
US:200155033,About five years ago.
US:29701159,Not sure
US:30178832,unk
US:2147126,When I went in the US Navy.
US:147754821,1960
US:3457079,1990
US:146731711,In the 1960's
US:25513147,"When I learned about 2A, Abortion, Free Speech and economics."
US:2086149,Two years ago.
US:27271192,Not sure
US:196440951,when I was 14
US:174827353,I switched parties in 1980
US:36099928,"When i was a kid watching the differences between Reagan, Carter, Bush and Clinton"
US:104077625,When barrack Obama was elected to his 1st term
US:39272753,In my 20s
US:187954419,After Nixon
US:105604235,when I was old enough to vote
US:29146372,Age of 21
US:2451346,In the 1960’s
US:189651357,Non
US:40614179,Back in 1968 when I first voted for Nixon over Humphrey
US:125531745,My family has always voted Democrat.
US:38913207,The failure to convict Trump on the 2nd impeachment in 2020.
US:25413921,"Originally, I was very young, like 19 or 20 when my older boyfriend told me that I should vote democrat. My family almost never voted and never talked about politics. My boyfriend was in a union at the paper mill. The union always endorsed the democratic candidates. We are no longer married and he now supports Trump. I knew so little about politics when I voted in my first presidential election and voted for Ross Perot based on ads. I have since learned to think for myself and research before every election. But I now always vote democrat as the lesser of two evils."
US:179679629,"Years ago,30 or more.because i stand for most of the same believe"
US:46332279,Probably around 2019-2020
US:2362919,when I first became a voter at the age of 18
US:174649803,In my Mid twenties
US:171107041,When democrats started abusing government power
US:192025671,18 years old
US:187921233,no comment
US:128004083,At 18
US:186972733,When I tried the military
US:205438393,Always
US:1726063,When I was younger
US:664033,Trumps first term
US:553429,unsure
US:194160611,30 years ago
US:204645491,About 23
US:206987757,when i took a test to tell me which way i leaned
US:3633988,teen
US:193770925,When Trump ran in 2016
US:157962705,Can't remember
US:178381621,2021
US:126955461,I really don't remember.
US:40762975,When Richard Nixon ran for president .
US:149519411,During John kerry and the swift boat thing
US:1358310,"Always knew, from birth"
US:187857671,I don't really like the whole system at all it still isn't fair to everyone.
US:4353219,when i could vote
US:147951013,1965
US:196616003,don't know
US:3808046,I used to vote for the person and not the party. In the past I have voted Democrat and Republican. But since Trumps first go at president and the Republicans response to his policies I have become a very strong Democrat. I will never vote Republican again.
US:1150398,30 years ago
US:202204697,when i was 18
US:157425517,When the Dixiecrats moved to the republican party.
US:142186485,1965
US:121338981,As soon as I know the difference between the two. My parents are Democrats.
US:186342561,Candidates
US:2129802,When I was in the 8th grade.
US:4714828,In my twenties
US:139932175,This question does not make sense.
US:3335947,I have been an independent for decades and always vote for the candidate I believe is best regardless of party.
US:173086831,Follows my values
US:173581789,2016
US:41787297,Because republicans don’t care for people like me
US:101231599,Forever
US:715480,when i was 18
US:3301322,"I always felt this way. I vote for the person, not the party"
US:141621219,When I was in school and seen how they are liars
US:3274215,At an early age.
US:142478193,Around 2008
US:132432035,"When Barrack Obama had tourists escorted out of Yellowstone at gunpoint because of a stalemate on a budget extension. He did this so he could say ""look what the republicans made me do"". Absolute coward move."
US:28810803,Long ago
US:179341765,About 20 years ago.
US:30591240,Grade school.
US:154053821,I have always been a Republican
US:46556501,Age 21
US:1935139,When I registered as Independent
US:40742074,in 7th grade
US:42790496,when i got older and started a family
US:299088,1980
US:191609515,During the 2020 election
US:38262359,About 45 years ago. I was an independent and realized I couldn’t vote in party primaries so I decided to register as a Democrat.
US:127495525,about 20 years ago.
US:201031447,I have been a Democrat since I could vote because I always knew they aligned more with the common man.
US:39910030,when i was in my 20s
US:1192423,don't remember
US:2771319,1992
US:40728298,2000
US:40964749,When Trump ran for president in 2015. And even a little before as I was starting to vote democrat.
US:102011707,1998
US:134007785,40 years ago
US:1240764,Prior to the election of 2016.
US:41180736,When Trump became a thing
US:1242473,About 60 years ago!
US:139218423,"After i saw how full of shit Obama was and how he didnt give a single shit about the troops and how he skyrocketed prices of gas and pretended to care but definitely didnt give a single shit about the common American. The Benghazi scandal was also incredibly eye-opening when Hillary said ""DOES IT EVEN MATTER AT THIS POINT"".. Shows that they are just involved in politics for their own monetary gain and literally do not care about the people who make up the backbone of this country."
US:1382468,Two issues...first was when the NRA/Wayne LaPierre 's influence over the republican party against common sense gun control and the second was Citizens United ruling by the Supreme court
US:205180495,1990
US:24918332,10 years ago
US:165565,no idea
US:186905511,Back when I was growing up
US:835576,At 18.
US:172566,when dems went totally off the rails way too liberal and do not reflect the views of most americans
US:132490067,Age 18
US:29633356,When I registered to vote at the age of 18.
US:3450301,When Regan ran for president.
US:4330148,not sure
US:671852,When I became a voting age
US:193193381,When I realized democrats are worried about the least important stuff that is literally tearing our country apart.
US:192681977,Because I’ve seen what’s going on in the government today! So many of them don’t care what the people need. They’re just following their leader because they don’t wanna be on his bad list. I just don’t understand why they don’t stand up to him and make things right
US:29543128,20's
US:926824,Before I turned 18
US:203734615,I don’t ever remember even though I’m a registered democrat that I didn’t vote for the person I thought would do the best job no matter what party they belonged to
US:40682344,Quite a few years ago
US:200358739,2016
US:798562,when I was 16
US:26176949,Because
US:166837151,When both showed.no.interwst in what the people want and need
US:196851567,many years ago.
US:3364086,I WAS ABOUT 30 YRS OLD WHEN I REALISED THAT THE REBUBLICANS HAD MORE POWER IN THE COUNTRY EVEN WHEN THEY DID NOT HAVE MAJORITY RULE IN CONGRESS.THEY COULD CONTROL THINGS REGARDLESS.
US:2396096,Don’t recall
US:40790377,1976
US:109981989,Two years ago
US:158637221,It has been a while since I became a Democrat. I believed their policies more than the other party.
US:1088813,In 1972 I voted for the Democratic candidate George McGovern which was my first time voting. The country was experiencing much tumult due to the Vietnam War. McGovern was the anti war candidate. I was a college student involved in school moratoriums and protests against the war. I have voted Democrat since then.
US:986543,When democrats decided they were against traditional American values and the Constitution.
US:40244390,In the last decade or so.
US:1436258,30 years ago
US:1851770,First time I voted
US:106331331,During the Kennedy Era- 1960's
US:191976941,In about 2022 - I became completly just disgusted with both sides of the politacal scene- Neither R or D cars about me or you
US:3348464,when i was 21
US:41485109,The year I registered to vote. In 1970.
US:3183908,I have considered myself a democrat since I began voting at 18 years old.
US:1338750,Because they are the most sane
US:163763461,Not sure
US:1447440,Growing up in the 60’s/70’s
US:809637,The first time that Donald Trump was running for president and I listened to his agendas.
US:180686753,have always felt that way
US:2013160,Before I was able to vote.
US:39197801,xxxx
US:150448781,In the early 2000s
US:133816539,1980's
US:131944009,During the Reagan administration.
US:1209600,After high school
US:35437871,Sometime during the past 4 years
US:3796250,I believe I was in my early 30's.
US:134213293,During the Biden presidency
US:1922855,When I was about 25 years old
US:3780090,when i first registered
US:144891219,At 18 years old
US:3056112,In my twenties.
US:118857001,"Probably early, shortly after I was able to vote"
US:181576479,at 18
US:39061102,When I was 18 yo
US:183192599,As early as I can remember. Probably influenced by my republican parents
US:387354,"When I first started voting, 50+ years ago"
US:124403407,No comment
