person_id,when_think_pid
US:1971458,"I was a registered democrat for many years, so since 1986 when I turned 18 & started voting, I'm not a Democrat now because they are too center-right and I want a more leftist party, so I refuse to allow the Democrats to count me among their numbers."
US:25693253,very early age
US:1356750,"Once I got old enough to be a critical thinker and saw the damage Dems were doing, especially through welfare. Seeing the destruction of the family made me realize how dangerous progressive policies are."
US:24686788,My entire life.
US:2756600,i do not remember
US:40886750,When I turned 18
US:24286021,Teenager
US:2618768,as a kid
US:4387382,When I was an undergraduate in college.
US:644881,All my life.
US:166143775,1980
US:1360387,Since I first voted
US:42702920,around 3 yrs ago
US:1514127,Decades ago but I still maintain an independent streak.
US:2982035,year 2000
US:26540215,At the age of 18
US:40849686,After GW Bush started wars that were not winnable but I have always been more left leaning.
US:117816353,Many years ago.
US:150923839,"I was in college when I first began identifying with the Democratic party. This was during the second George W. Bush administration, and then just as Obama was elected for the first time."
US:124625563,When i became a working guy.
US:193544517,Less than 10 years ago
US:25684292,I became a Republican about 40 years ago.
US:905529,Yeats ago
US:1760511,"When the Repub;icans started getting too ridiculous about personal freedoms, such as abortion rights. I agree on more (but definitely not all) issues with Dems, very few with Repubs."
US:173699469,1982
US:1338954,1972
US:3511083,4 years ago
US:2241418,From when I began learning about civics.
US:196152185,When I became eligible to vote
US:190672873,Neither
US:142547449,"Question doesn’t make sense, tech difficulties."
US:40091207,When I registered to vote at 20 years old. My Mom was Republican.
US:1069632,About age 15
US:29827873,Always
US:172629231,Before I was eligible to vote
US:25273093,"I believe since Jr High,"
US:30051479,Like 10 years old.
US:114029663,"Years ago, thought democrat gave too much money away to people who did not work etc"
US:39604099,"Around 10 years ago when things were getting out of control. Prices, etc."
US:184757,"When the democrats started kissing up to the Illegals, LBGTQ communities, going against the police, Trying to do away with oil and gasoline for car fuels."
US:206556815,No extra comment.
US:46460721,I don't remember.
US:1850665,During Bill Clinton's administration. I had voted for him and he was a huge disappointment.
US:182945995,1980
US:184108145,When I realized Democrats were only looking out for their own pockets and those of other countries instead of America
US:4529177,when I was old enough to vote and understand things
US:113003713,I don't care
US:27306590,In high school
US:1333030,1960
US:167636091,In 1976 after President Carter turned his back on the middle class.
US:31654048,Just a few years as I don't like the choices as they aren't for the people!
US:42325322,All my life had the belief that the individual should distinguish himself from the herd. If you are a leader you should have your own personality and not just run with the pack
US:3381436,About 50 years ago
US:39519606,When President Obama was running.
US:125773167,Since the 1960s
US:504120,My first vote in a general election when I was 18.
US:46020779,I would not like to answer that question I have prefer not to
US:40302394,When I was in college.
US:486980,Several years ago.
US:189577503,2016
US:1938312,"like maybe after Carter, Clinton was okay. bushes were not really bad. but obama really did us dirty and Biden if he was actually running things really was bad too. also the democrats are so far left and say stuff but do the something else. the trans stuff!, they speak like communists, they are constantly using judges and saying bad things to people. & the republicans act like grown up people. I was raised catholic. do not go anymore to the church but can not live with things the democrats do anymore. so I would say the democrats lose me maybe forever with Obama."
US:126731973,When I was in high school
US:41275565,"So far it's always been the party most closely aligned with my more progressive beliefs, so probably my early 20's."
US:2233268,1984
US:142251159,The Democrat party is closest to my views
US:171306697,when trunp ran in 2016
US:3283005,not sure - it was a long time ago but my family always voted Republican
US:149003461,"Jan 6, 2021"
US:31253152,My whole life
US:46744593,About 50 years ago
US:2407403,About 10 years ago
US:1180967,Since the Covid epidemic
US:1476228,The first time I voted
US:28205090,3RD GRADE
US:100880745,When I voted in the 2016 election.
US:186835863,At 18 years old
US:1379380,When Bill Clinton was President.
US:28482816,At 21 years old
US:486634,The first time Donald Trump ran for president
US:174822949,2016
US:139527795,Always
US:167873871,A long time ago
US:192371409,The left democrats lost common sense ever since Obama left office.
US:2898489,1974
US:546515,"People who believe in a strong middle class, workers, women’s, lbgqt and civil rights just to name a few. No oligarchs or kings and that everyone in the country has the right to due process under the law."
US:186211393,When I was 10
US:32243182,"When the democrats made their entire party platform about catering to minorities and trannies, I knew they didn’t want my vote anymore."
US:128742039,2008
US:131189495,"During Biden's term, especially as he got worse and worse. I wondered who was running the country."
US:22505108,when i was able to understand politics
US:108650,my entire life
US:108070083,When their views were closest to mine
US:290784,In high school
US:1846540,1967
US:40795041,I was a Democrat for more than 30 years but the party moved radically to the left so I changed to an Independent.
US:126130405,When neither would do anything about a convicted felon running for the Presidency. The Democrats or Republicans cannot be trusted.
US:40967547,2000
US:138532473,Not sure but maybe in 2000.
US:135625361,When I realized how liberal the Democrats are.
US:143489809,middle school
US:176733001,"For as long as I can remember, I've considered myself a Democrat. I'm elementary school and junior high school, I learned about the two main political and what each party supported. Democrats seemed to care about all different types of people. They were enacting laws that helped people become better versions of themselves or helping people during difficult times."
US:31331333,When I could first vote as an 18 year old in 1970
US:194162167,When I first voted
US:3085239,neither
US:27240065,Age 30
US:37453797,After 9/11
US:1582048,As a child growing up in a Republican family.
US:143509995,I’ve always thought of myself as a democrat
