person_id,why_are_pid_with_when
US:173602741,Learned that democrats started the KKK so I went to the other side.
US:205893495,Republicans have conservative views that I disagree with
US:156890521,I’m anti-abortion
US:145142163,Their platform
US:197959305,I felt it was important to support Obama.
US:119367737,I do not agree completely with the policies of either party
US:1911433,more inline with my opinions
US:162822095,It became painfully obvious that republicans only cared about big business and the rich elites.
US:187445237,"I've watched Joe Biden during his entire political career. He was a plagiarist, liar & a con man. He should be behind bars. Barack Obama (whom I voted for) & misused billions of tax dollars to fund violent Islamic groups through USAID. Then Hillary Clinton piled with the missing 35,000 emails and her creation of the Steele dossier (& 24 strangley 'unalived' people) drove me away from the Democrat Party forever. The DNC cannot be trusted for the remainder of my lifetime. They protest for criminal illegal alien gang members on our tax money, And not a single member of the Democrat Party can correctly quote two full sentences from ANY PART of the Constitution or the Bill of Rights. We should not elect people from that last category."
US:172544273,I was noticing the Democrats were taking this country in the wrong direction and not working towards the American people. We finally have an administration that is working for America and not other countries and illegal aliens
US:193067365,The Democratic Party proved themselves to be untrustworthy.
US:165143077,Because my views don't align with Republican views
US:121654045,Na
US:172181269,The party is most aligned either my beliefs
US:173583521,More humane political party
US:39524742,I agree with their policies on smaller government and that the government works for the people and ahould stay out of people’s lives.
US:4541375,My overall beliefs
US:108725141,i agree with their policies and choices
US:150560389,They are closer to my beliefs.
US:1684571,I don't know
US:25649585,I stand against everything the cult believed and they were Republicans. There's more to it but that's where it started.
US:847351,Tired of watching America go to hell
US:31189999,for progress
US:134491761,Because the issues I valued then and continue to value today aligned with the policies and priorities of the Democratic party.
US:40980076,"As a working person when I was much younger, I believe what the Republicans have done for equality and equal pay whether male or female."
US:39487202,GOP was for themselves and the rich
US:219765,Democrats are for the working man
US:4524173,Because my parents were.
US:40810649,I believe in helping others
US:657185,Support for the middle class and marginalized people
US:4554174,"I am not close to any political party. As one of Jehovah’s Witnesses, I look to the Kingdom that Jesus said we should pray for to solve mankind’s many problems."
US:3803339,I come from a family of Republicans and that party generally follows a conservative bent.
US:179601253,I’ve not always felt closer to the Democratic Party. But now I truly believe every person deserves health care and certain other things like being able to have safe drinking water and food. These values fit more with the Democratic Party.
US:198664945,I have my own ideas
US:1882563,I was/am of the opinion Government works best when it does not legislate social morality.
US:112176573,"Most of the time, I see strange people protesting the weirdest things, and it turns out they are liberal. They don't make sense and make me think we should open more asylums. I don't wish to be part of that crowd."
US:189873961,"I believe Republicans do the right thing for the country, I don't believe in freebies to people who CAN WORK but choose not to. Tax oayers like me should not have to pay for the lazy who live off of the government."
US:185768509,"Republicans are for common sense and for 80% of what people want, Democrats are for stupid policies and only for 20% of what people want"
US:952128,They care about the middle class and lower class
US:44263918,Redumlicans are horrible
US:192998525,"Morals, common sense"
US:124734113,Clinton scandals and democrat congress actions
US:155490711,the Republican party is too concerned with benefited the upper middle class and rich and seem to have little compassion for those with lesser means. I say this although I have always been upper middle class myself.
US:171211981,"I discovered the democrats are all liars who will say anything to get a vote. They never keep their promises, and never will. They are the party of Slavery, the KKK, Jim Crow, and all new slavery schemes like welfare."
US:171770213,I watched the GOP disintegrate into racism and idiotic decisions about the economy
US:39476131,Because GOP are closed minded and nasty. They pretend to be about freedom while they are standing on your throat. They are all about lip service and not in what they practice
US:167514971,My mother’s influence.
US:180176203,Going along with my family members of who they chose to vote for and who is best for the Americans
US:40738035,I agree with their policies
US:123309231,I think I answered that above. Sorry!
US:46301537,I decided to vote in my own best interest instead of against it.
US:183010911,Hearing the discussions of the Republicans and Democrats and the differences between the two I lean more toward the Democrats .
US:28811090,I Felt they Had the Right Ideas Not Giving away our Tax Money and Driving up Inflation!
US:29698917,"Democrats rely on objective reality, pursue the common good for all people, play by the rules, stand up for the common man, pursue more effective budget and tax policies, reduce the budget deficit in years when they are in power, are willing to raise taxes when needed, enact and protect social programs and policies that benefit all the people; protect the environment, support our veterans, protect the power and dignity of public service and public offices, support family farms and agriculture generally. And the other guys?, the Republicans? Do just the opposite, over and over again."
US:2822153,Because it used to be the party of less government and lower taxes
US:40685102,I am more aligned with their priorities and way of thinking on most issues.
US:35891660,the republicans seem to be more honest
US:131256153,They represent my values.
US:143605031,From what I heard the Democrats were too loose on things and give away too much putting us in more debt.
US:162974847,their views more closely align with mine
US:30685517,Aligns with my values
US:1076474,My values are mostly aligned with the Republicans
US:164237327,I saw firsthand how the more wealthy people were concerned about their own wealth first with little concern about those who did not share in that kind of wealth.
US:35161517,Democrats are for the people and have made the right decisions for the people and what I believe is right. They believe in freedom for ALL not just the view. They believe in uplifting the populace not keeping us ignorant. I could go on and on. I doubt I would ever vote Republican.
US:2791746,most of the republican people i know seem uneducated and dumb
US:39219816,The Democratic party is closer to my ideals.
US:41171744,Because Republicans are trustworthy and genuine
US:196247799,"Ronald Reagan was a better president than Jimmy Carter, from my perspective, our country is stronger with a republican president. Also, The democratic party is the party that passed Jim crowe laws, started the KKK and currently doesn't have any policy that I agree with."
US:4541450,Jesus said his kingdom is not part of this world neither is mine
US:4172882,I have been very fortunate in my life and I want those less fortunate to have the same opportunities that I've had. I want clean air and water. I want peace. I want all children to have the chance to get a good education. I think health care is a human right.
US:4404382,I believe the government needs to help tge people of the US not just big business.
US:23751840,Because they represented my views.
US:133681177,Do not agree with many conservative values.
US:1751898,Quickly learned that democrats are by far the most immoral and corrupt group
US:2313164,Most of the time they are the uniparty
US:127026527,No specific reason. The Democratic party more closely reflects my feelings about most subjects.
US:2633195,"Democrats have lost their focus and push some bizarre and dangerous issues especially on parents trying to protect their own children. That is not their business, they have way more important things to take care of."
US:371245,John F. Kennedy
US:189755537,When I realized the democrats stood for the opposite of everything I stood for.
US:207604,I generally agree much more with the policies and values of the Democrats.
US:134387673,"They put emphasis on Americans, not illegals or special interest groups."
US:3220182,I hold most of the same values with the Democrat's platform.
US:23451541,"When the Republican party writ large got behind a lie to get us into a needless war in Iraq, smearing the people who were exercising their right to object. It was clear that there was one party that was not committted to being honest with the people, but rather maintaining their grip on power regardless of the cost. This has only become worse."
US:633394,"My best Friend who still is was a staunch Democrat. After lots of discussions I came to the conclusion that the Democratic Party was for helping the middle and lower class in important areas like health care, supporting unions and higher wages, protecting Social Security and Medicare, protecting the environment, protecting our Constitution and the Rule of Law and many other issues. I realized that the Republicans were all about tax breaks to the richest one percent and stood on the opposite side of the Democratic issues I just listed. I do not understand why people are voting Republican which in my mind is voting against one's own interest."
US:41834188,I believe what they represent
US:3832827,Pro women
US:180968957,because I'm not a republican
US:164621497,"As a lifelong Republican, it was when the party elected a lifelong criminal to be its candidate"
US:1931990,I most aligned with the beliefs and goals of the party
US:1123298,Republican Party has developed into the party of Common sense party.
US:38457862,"Like Bill Mahr I felt the Progs going too far re: DEI, Gaza and felt the Dems need all the help they can get. PS I'm from VT so Democratic Socialist like my Bern but a Dem"
US:43317449,"That was a long time ago and I can't remember that far back. If I were deciding today it would be by default as the only other choice that is relevant would be democrat and even the thoughts of being a democrat is repulsive, sickening, disgusting and worse."
US:2760874,both parties have gotten too extreme and a failing to find middle ground to create an atmosphere of cooperation. The majority of both sides are busy throwing barbs and promoting extreme ideas
US:2451335,After Biden and all the illegalls and the fraud going on. Seeing how bad he was . I knew I was done with them. I dont want bad people staying in the US.
US:2632273,I want less Republicans ruining this country. And I want more Demcrat voices.
US:41706935,Jimmy Carter was weak.
US:149590829,I only chose republican because I prefer their policies more
US:24849922,"They are closer to my values, democrats have no clue what the average person values."
US:3014438,They support people like me
US:4097218,they care the cmmon working people
US:3314126,They are really for the people and not just talk about being for the people.
US:1516818,Because I don't want to be a Republican.
US:39171636,My family was Republican and I was able to vote for Ronald Reagan my first time. I strongly believed in what he had to offer as a president
US:166194131,"The only party concerned about peoples lives. Not corporations and the maga rich, who don't need more."
US:159221267,Always been this way I guess
US:155104911,"In the current state of both parties, I agree far more with Democratic objectives than Republican ones although I am dissatisfied with both parties at this time"
US:3333856,They are fair in every way
US:181957021,It’s the better choice
US:192035013,My values as a person align with democrats not the republicans or the maga group or the quite literal nazi's
US:126854329,I don’t believe the democrats are doing a good Job for the people I was a democrat until they went with abortion and against the Bible religion freedom was what America was founded on and we need to get back to that instead of excepting evil that is going to cause the fall of America
US:40825807,The republican party refused to reign in their president when he exceeded the powers given him under law. Also I wanted to vote in the primary
US:175254075,"There are several reasons. As a young adult I started to notice racism and misogyny and that the majority of the perpetrators were conservative/Republican. When affirmative action was implemented I saw how furious it made my father (a republican) of course my mother was all for it she worked full-time at the post office. When I went to University, expanding my mind to a more whole word view it reinforced in me how important our civil rights are."
US:44142267,I'm conservative and Christian. Republican is the best for for me and for the nation.
US:4601704,"I'd rather give too much, then not enough to the people who need it."
US:1308653,"Values of social justice, civil rights, health care and working people."
US:146427281,Republicans are more aligned with the people.
US:25440508,When I decided to vote for Donald Trump.
US:183830357,Better policy decisions
US:139338079,no
US:420955,Their views and values align with mine.
US:192026243,"They strike me as being considerably less tyrannical, and overall more grounded than the Republicans."
US:140787159,Abstaining from the facade - democratic or republican labels - will make you a critical thinker without a wool in your eyes.
US:123664083,Liberal thinker
