person_id,why_moved_to_current_state
US:40332632,Get away from a dump ran by democrats
US:26216761,"Husband died, moved in with my son."
US:1971458,"I live in SW Virginia, it is beautiful here, with a much better quality of life than Massachusetts had."
US:25693253,financial reasons
US:32018531,I moved back home after college
US:34910603,Mother died when I was 7yrs old
US:156890521,Husband’s residency program
US:4462282,College
US:1356750,I wanted to live closer to family
US:4510147,Family
US:35972074,Parents fleeing the segregated South
US:24686788,"Did not move there, I was born there."
US:131452633,family
US:1937002,retirement from teaching 32 years in NJ
US:145142163,"to be back closer to family, the weather, the diversity, the food"
US:172884413,family
US:45530066,fathers job
US:40886772,My spouse at the time wanted to move.
US:113842499,Job outsource to Manila
US:197959305,Returned home from college.
US:119367737,to escape California
US:143963431,Parents moved our family
US:40886750,Grandchildren
US:1911433,weather
US:955551,More job opportunities in New York than in Michigan.
US:178909913,To go to school
US:24286021,Job
US:162822095,"weather, adventure, fun"
US:31631970,Marriage
US:187445237,dad's job
US:172544273,To look after my aunt and uncle.
US:2618768,a job
US:4387382,Great suburban neighborhoods.
US:193067365,CA housing was too expensive.
US:310944,Family
US:644881,I was born and raised in Georgia.
US:166143775,divorce of parents
US:165143077,School and just to live
US:137312423,the weather.
US:1066282,Closer to family
US:121654045,THE SUN
US:40347682,weather and taxes
US:4408968,bought a house
US:31700543,lower cost of living compared to NYC
US:136577369,Left Denver to return to my home state
US:2631731,done with school
US:102964735,My dad wanted to pursue higher education.
US:233468,Returned from the military.
US:173583521,Father retired here from us miliatry
US:42702920,to be with my wife
US:2982035,looking for freedom
US:2425662,where i am from
US:157118931,Parents got a divorce
US:25302596,This is where the spouse wanted to be for now
US:4541375,Career
US:40849686,HATED Oklahoma.
US:680943,I returned home after two years in Portland OR
US:1070359,home state
US:117816353,Family
US:141883859,To help aging parents
US:31435093,Job
US:28406238,Widowed -moved in with son.
US:150923839,I wanted to move back to where I grew up
US:170185181,Job in DC
US:150560389,Navy
US:1348814,My Step father was from Ohio and after he married my mom he needed to move back here for his business
US:25684292,Employment for my father
US:931128,I was born here
US:192432143,Wanted to!
US:25649585,"It's where I grew up, I went away to school, I moved to the beautiful Ozarks and have no desire to leave."
US:2209556,I moved back to my home state to be with family.
US:1760511,to get the hell out of texas and because of the beauty of New Mexico
US:28318649,I was born there
US:173699469,Got married.
US:847351,Family
US:1338954,born here!
US:34731340,I was born there.
US:3511083,Warm
