person_id,why_think_pid_with_when
US:1971458,Because the republicans are insane & the democrats are at least marginally closer to the beliefs I hold.
US:25693253,because republican policies don't work
US:1356750,I believe in limited government and allowing people the freedom to make their own way.
US:24686788,"As someone with an enlightened, liberal way of thinking, I agree with the philosophy and policies of the Democratic Party."
US:2756600,they are fir the people by the people
US:40886750,I believe in common sense and I don't see the democrats having much of that
US:24286021,Shrug
US:2618768,Democrats seem more in touch with the population.
US:4387382,"Because I am smart, rational, and kind."
US:644881,I support one nation under God .
US:1360387,"I’m for equal,rights for women,lbgtq rights"
US:42702920,more like me than democrtas
US:1514127,"They are more concerned with those who have less and the ""have nots"". They are not engaging in destroying our economy, our defense, our research, our freedom of speech. They are not grafting and especially not on an enormous scale as the current administration."
US:2982035,"Politicians (all of them without any exception) are treasonous puppets controlled by global aristocracy and Vatican, working against the best interests of their constituency. And people finally begun awakening to it."
US:26540215,fiscal responsibility
US:40849686,I am an empath and a retired nurse and that has shaped my left leaning mindset. Treat people as you want to be treated.
US:117816353,Do not agree with Democrats..
US:150923839,"I identify more with progressives than I do with the Democratic party, proper. But I consider myself a Democrat because I believe in the principle that government should steward and benefit citizens through public works, research and funding, and social support programs. I also believe that the neoliberalization of government since the 1980s has catastrophically widened the wealth gap and failed to deliver benefits to all but the most wealthy Americans. Over the past decade, I have seen a terrifying rise of racist, bigoted, and patently misinformed views associated with the GOP and Donald Trump as its figurehead. I am exhausted by the discrimination this party aims at American citizens, those who wish to become citizens, and those who enter our country in need of asylum. I am exhausted by the vitriol towards BIPOC folks and the LGBTQ community. I am terrified that childbearing people will not get the healthcare they need because of abortion bans. I am terrified that Donald Trump is single-handedly destroying our economy and our respected position in world politics. And I am ashamed that our country has elected Donald Trump as president for a second term."
US:124625563,Because i realized their beliefs were what we really needed
US:193544517,Both parties have big problems and these problems keep them from functioning well.
US:25684292,"The Republican platform is moral based on conservative values. They are the closest to what our Founding Fathers wanted for our nation. Freedom, life, liberty and based on biblical values. Our Founders were God-fearing patriots that modeled our government on moral values."
US:905529,Two extremes with no common sense
US:1760511,"I believe that the right to abortion is between a woman and her doctor, period. I think that the country is in great danger with the executive, judicial and legislative branches all controlled by the worst party in our recent history."
US:173699469,I believe in a strong family unit; patriotism and only 2 genders. The “progressive” mindset is totally insane.
US:1338954,they come closest to my values
US:3511083,I’m not Democrat
US:2241418,They uphold progressive action to make this a more inclusive society.
US:196152185,I am a working person and Democrats used to be for the working person
US:190672873,None
US:142547449,See above
US:40091207,My Mom was a Republican and that's why I went with
US:1069632,I am empathetic and intelligent
US:29827873,"I believe in equal rights for all, women's choice, and most things the democrats stand for."
US:172629231,I believe in social services
US:25273093,"America First, life of the unborn, family as a unit, love of country, proud to say that Jesus Christ is my Lord and Savior"
US:30051479,I believe in helping the less fortunate. I am an FDR democrat. I believe in a strong social safety net and using money to help make people's lives easier.
US:114029663,"I have worked for years, need lower taxes, and stop giving money away"
US:39604099,Some of their views align with mine.
US:184757,I got to church and believe in taken care of our own people instead of letting all these foreigners take over our jobs and cities and bring crime and higher prices to us all for insurance on health and qutos too. I care about our vets that have fought wars for our freedoms. I hate rude people whom are mostly foreigners in my city.
US:206556815,No extra comment.
US:46460721,"I have common sense and don't believe in abortions, violence, Woke & DEI crap."
US:1850665,Republicans stand for the American dream and the American way of life....and they stand for our constitution and republic.
US:182945995,"I believe in traditional values, self-sufficiency, individual freedom, smaller government, and a less intrusive government."
US:184108145,I love this country and want to MAKE AMERICA GREAT AGAIN!
US:4529177,I believe more what the repub lican talk about
US:113003713,I don't care
US:27306590,"Because I love our planet, all of its life, and don't think like a white supremacist"
US:1333030,Because I am a Christian with a moral compass
US:167636091,Republican policies actually support the working middle class. Democrats say they support the middle class but their policies harm the middle class.
US:31654048,Didn't like the choices
US:42325322,I am not a follower and both parties have become a bunch of sheeps
US:3381436,Can't follow Democrats polices
US:39519606,I don't agree with the Republican ideals currently.
US:125773167,"The party does embrace policies with which I mostly agree, but not all. The Democrat party has embraced wildly extreme positions and actions that are more closely aligned with “Nazism” than those they accuse of it."
US:504120,"Democrats tend to be better for the economy, diversity, the environment, and social programs."
US:46020779,I prefer not to answer this question
US:40302394,I believe in their ideas and principles.
US:486980,They are conservative and don't waste money on irrelevant things like the libs do.
US:189577503,I have morals.
US:1938312,perhaps I should retype the above. but the it is the conservative stuff. I think people should do what they want and be left alone but they also should not be able to have 1 percent of the people mess up 99 percent of the people. Also I really thing the open boarder is very bad. I think that the democrats are trying to cause chaos in the streets so that they can end up being dictators by promising to fix what they caused.
US:126731973,Every one I know was a Democrat.
US:41275565,It's the closest thing the US has to a liberal/progressive party that has a chance of winning elections.
US:2233268,I wised up!
US:142251159,Best representation of my views
US:171306697,The democrats are evil degenerates who hate regular people and seek to destroy america while enriching themselves
US:3283005,I like what they stand for - the people
US:149003461,Republican leaders have become loyal to a single person rather than the rule of law and the U.S. Constitution.
US:31253152,Align with my beliefs
US:46744593,"The democratic party is more for the people,not so much for the upper class"
US:2407403,Did not the democratic platform
US:1180967,"The Democratic Party has strayed too far left with: DEI, Transgender issues, taxes. Right now the Democratic Party is being driven by a small group of far left, out of touch politicians. They seem totally detached from most Americans and their values. The immigration problems over the last 4 years also contributed to my lean toward the Republican Party."
US:1476228,I believe that the government should be very small and not interfere with how people live their lives.
US:28205090,I'M PRO-LIFE.
US:100880745,I oppose children being killed in schools and support common sense gun laws. I believe that more needs to be done to address climate change. I support the affordable care act and Medicaid expansion. I would like for the United States to join other developed nations and get universal healthcare in the future.
US:186835863,I believe the Democrats will help the average person more than others.
US:1379380,"Democrats want to help people succeed, and offer solutions to problems. They believe in science and people's abilities to be their best. They are not mean or cruel."
US:28482816,Because most democrats talk and take action on situations in the USA that I believe in
US:486634,"I think the democratic party is starting to go crazy. They are supporting communism, DEI, transgenders, etc., People do not want this crazy so I left the party and went with the one that cared about America and American people"
US:174822949,I could not vote for Trump
US:139527795,Social programs
US:167873871,I vote issues not platforms
US:192371409,Trump does what most presidents has done and they make a big deal out of it like not giving due process to illegal immigrants. Another reason is that democrats care about identity politics which nobody cares about.
US:2898489,"Democrats are idiots, and well, I'm not"
US:546515,As an African American I dont see any other choice. I can be a democrat or join the party that pals around with white nationalist? No thanks!
US:186211393,Caring about others
US:32243182,"The general republicans are also pretty shitty, however Trump and the MAGA movement are actually trying to restore this country to greatness and give it back to the average working man that build this country and not let the marxists on the democrat side win."
US:128742039,Like them
US:131189495,I support what Trump and DOGE are doing. I had no idea so much of our money was being filtered back to politicians.
US:22505108,i believe what the republicans think
US:108650,Their positions and values line up with mine. Democrats have become totally extreme.
US:108070083,They make the most sense
US:290784,Because of their mostly conservative views
US:1846540,"Because the government is there to make the country better FOR THE PEOPLE, through legislation that helps everyone, especially low income folks."
US:40795041,The Republican Party is more responsible than the Democratic Party and more aligned with my values.
US:126130405,I rather fend for myself.
US:40967547,"Small government , less tax, stronger local government."
US:138532473,"I am for helping people and not of people having pull themselves up by their bootstraps. Believe in human rights, healthcare for all, SS is a very good thing, helping the underdog."
US:135625361,I'm as Conservative as is possible and they align most closely with my position. Not that they're really all that great.
US:143489809,My views and priorities align with the left and center left of the party
US:176733001,"Ever since Donald Trump ran for president in 2015, Republicans are unable or incapable of standing up for their constituents, even when Mr Trump's policies are not in their constituents' best interest. Plus, I don't trust any Republican, especially Donald Trump, after how the attack on the capitol played out. Republicans are either lying or delusional when they claim that the events of January 6, 2021, were peaceful and not an attempted coup. Now that Donald Trump has been re-elected, his delusional take on reality cannot be trusted. Moreover, Democratic positions and policies help everyone, while Republican positions and policies primarily, if not solely, benefit Anglo Saxon, protestant men. Democrats seem to be focused on the future, while Republicans are stuck in the past, but a fantastic past that never actually existed."
US:31331333,More like the people in my town
US:194162167,Because I believe in freedom
US:3085239,no comment
US:27240065,Mostly because of my views on abortion
US:37453797,Democrats tax and spend and have over the years disregarded the middle class
US:1582048,Because I care about people and the planet.
US:143509995,"Because republicans are too religious, conservative and self serving."
US:165320667,Dems treat people more fairly and cheat less
US:25773417,"I believe in healthcare for all, pro-choice, anti-racism, pro-services for citizens (social security, etc.)"
US:142456337,Republicans are conservative and for the everyday people who done have a voice like the rich actors or athletes.
US:128058639,Because democrats are crazy at the way they handle things. And not weighing out things
US:121183699,I dislike how most of the current Republicans in office follow the herd and COW down to Trump instead of standing up for what's right for the people.
US:128079483,I don’t remember
US:28390583,NEITHER DO WHAT THEY SHOULD
US:4319079,Tougher on illegals
US:27535402,I agreed with what she said and I thought Donald was a lunatic. I still do.
US:2279772,"They believe in the constitution and the wealth, the people"
US:1426621,Women must always have the right to choose. We have to support the social programs that are in place to help when needed. I love this country and am horrified and terrified about what I see happening. It's anything but democratic lately and people are still sleeping.
US:2351490,"The Liberal-Democrat Party Has Lost the Vision of the People. They Have Become Bought and Paid for Elitists, Representing The Upper East Coast and Kalifornia on the West Coast. They Long Ago Abandoned, the Average American..."
US:41955514,Democrats are ruining this country with liberalism
US:126803469,Liberal in all my beliefs
US:4156057,"Democrats are for the people who work . They represent the majority of Americans. They protect the rights of workers, children , the elderly, the disabled, and the unions . They want the billionaires and big corporations to pay their fair share of taxes and take the weight off the middle classes."
US:25896055,Republicans don't care about their constituents
US:37840851,Because I am conservative in my line of thinking. Morally correct and reasonable.
US:42611179,I believe in the values of the former Democratic Party. The one my parents and grandparents believed in so strongly.
US:117878507,Both parties have lost touch with what made this country great its all right or left thinking and nothing inbetween
US:3008494,I dispise the republican party
US:2882424,"We are for our wonderful country its founders and Declaration of independence, Constitution and Bill of Rights. Our Flag. Working hard and being awarded for it. Fair wages and opportunities. Freedom and free speech. Being Patriotic."
US:27286398,support small government and people taking care of themselves.
US:33145216,I have always considered myself a Democrat as they represent my values so much better than the other party
US:2417808,their polices are closer to my positions
US:3711871,Totally disagree with the Liberal party of democrats.
US:22479083,"I will never vote for another Republican because they have lost their collective minds. They don't care about who they promote - think Herschel Walker, MTG, George Santos, Boebert, Hegseth, Musk... They do nothing about the corrupt Supreme Court judges that they stacked to do their bidding. They have combined white supremacy, corporate greed, Christian Nationalism, and Curtis Yarvin’s ""philosophy."" They think ditching the Constitution and suppressing Congress and the Judiciary and letting the president have immunity for crimes committed in office are improvements. They did nothing about taking Musk out of his rapid course of destruction. They just voted to deport American citizens. I am not pleased with Democrats because they tend to use tax money to create programs for a limited population over and over while I worked hard for that money but at least they do it out of concern for some people."
US:45832991,I think of myself as Maga Republican. I am that because the left is to far left and has become Globalistic.
US:373594,Because we believe in justice
US:24551849,Most of my strongly held beliefs and values are in line with Republican beliefs and values. I am very conservative and the Republicans are the party most closely aligning with that.
US:26440196,The word Democrat is part of the foundation of our country——-Democracy
US:113353081,Because our politicians take bribes whenever they think they can get away with it. I first joined the tea party and now MAGA
US:161653365,This is a least question please see previous answer
US:4274808,I feel every person has a right to their own opinions and should be seen and heard.
US:597116,The Democrats are too far left and out of their minds
US:670080,I don’t agree with any party.
US:1804280,That is personal.
US:30701219,I believe in democrats and what they stand for
US:990540,because i want to be in a party that has guts and not one that lets everyone walk all over you
US:163989631,They support issues I support
US:137783195,Because the GOP imploded. No longer conservative. Party of “No” and party of cruel decisions on behalf of society
US:112049047,Better values and desires for this country as a whole.
US:28491293,The Democrats are more concerned with equality and ensuring equal protection under the law for all while the Republcans are more interested in ensuring the best for the rich and anglos.
US:150431611,"Because I agree with Republican ideas, and for the most part find Democrat views unrealistic and stupid"
US:35905672,No reason
US:41217056,My views align more with the Democratic Party.
US:172489391,Because I couldn't ever think of myself being close to the Democratic Party. I think the Democratic Party is trying to implement socialism.
US:4482809,im not sure
US:186669327,For the people
US:40022218,i care and empathise with others
US:1421994,Agree with their platform and policies more often
US:139758105,"Trump is the figured of a disease in America. I see Trump as dangerous to our American values. He has no respect for the rule of law, freedom of speech. Or freedom of the press. His narcissism knows no bounds. He is the most ignorant president we have ever had"
US:40943555,"I believe the united states should not borrow money, should have a balanced budget, I'm fiscally conservative"
US:199829417,Because their policies align more with my beliefs promulgated by my faith in Jesus Christ
US:1729988,F trump
US:1130607,I'm really weary of the tax burden. I think we need to shrink the size of government at all levels get back to the Constitution.
US:178340357,I think the major problem with the functioning of our government is due to these two major political parties who refuse to work together and also refuse to work for the people. Another major problem is how wealthy they became as a result of their party positions. And I am not referring to their government salaries.
US:139599977,"I am very conservative, and for the most part, feel that Republicans support my viewpoints."
US:3351511,My values are more in line with the Republican party.
US:1625340,"The democrats lost their way. They used to be for everyone, now the fight for less than .05% of the population, and prefer illegals over citizens."
US:939207,Because they represent democracy and the common people better.
US:168601691,Support small government
US:177520929,I disagree with what both parties are doing with issues put before them. If want to know who leads it's the Democrats pretty clueless.
US:4191686,I think Republicans are too radical at this point in time.
US:182233645,Because the democratic side is the only sane side especially right now
US:197890433,Im for freedom and helping people
US:26736042,"Rebublicans are better at managing national security, the economy, health care and mqking comon sense laws."
US:155870419,I'm for making and keeping America the leading country in the world.
US:4364745,I don't agree with one or the other enough to be considered a part of the party.
US:142438759,They are more for the people and doing what's right and keeping this country on right track
US:4201733,Democrats care about democracy and all people
US:3523748,I believe in most of their ideas
US:2867682,I support conserving the traditions and values that are kind father
US:1336536,just do
US:45056868,"I care about everyone, not just the rich"
US:1189946,The Republican party has become more extreme.
US:2297173,I was raised as one.
US:3183554,Emphasis on smaller government
US:519167,Democrats work for ordinary people.
US:186860737,"Social issues and equality are important to me, and I hate to see the rich getting richer while the poor and middle class co time to struggle"
US:124249271,"Many democrats, consider themselves the voice of the people and put chance behind the the people, when it comes to advocating for freedom, equality, and inclusion."
US:1885144,The party candidates' positions and voting behavior match my own more closely than those of the Dems.
US:3003626,Common sense. American values. Not woke or crazy
US:32637599,I stand with others who look at Republicans as the voice of the people and for common sense.
US:204417585,The Republican party has values that I have.
US:193611061,"I still think of myself as a Democrat because that was my choice for a very long time.Then,I became very disgusted with them,for various reasons.Who knows-perhaps there are still some great Democrats out there,but from what I see,there is nothing to get excited about."
US:4275792,Because they continue to put God and the nation first.
US:1936408,I value people and their right to live their life as they choose as long as they do no harm
US:40590505,I PREFER WHAT THE PARTY STANDS FOR AND NOT WHAT THE DEMOCRATIC EXTREMISTS STAND FOR.
US:197208331,10 years ago
US:176570529,Neither the Republicans or Democrats have the people in mind when making decisions and it's not right.
US:194176021,Because I believe in the policies and the Republican Party with President Trump leading
US:2654290,iam for god country and for law and order and 1 beautiful AMERICAN FLAG
US:4415166,I believe in reality and not giving everyone money for nothing. I believe in business morals and running the nation like a business.
US:46328622,Neither party has principles or firm or fixed policies or an inspiring vision for the country or its people. I don't believe Trump is a principled leader who has values. The Democrats have no leaders at all.
US:175082343,"At the time, I believed Democrats had the answers and represented people like me."
US:717722,I care about people and want everyone to have freedoms
US:1663104,The democrats have been very deceiving and dishonest.
US:4262035,"I'm conservative, not Liberal."
US:40736513,Because I am non violent like most Republicans and I just want what is best for our country and our people.
US:169360,"The Democratic party is aligned with my values. It is concerned with promoting democracy, addressing climate change, enforcing civil rights, using government as a means of helping the neediest in society and reducing economic inequality, and providing access to health care, education, the arts, national parks, etc. It doesn't always do these things well, but at least it tries."
US:27289551,Because it is the only bulwark against pure evil taking total control.
US:349992,I believe that the middle class needs to be represented and I believe that our country should help others
US:1058451,GOP closer to the middle
US:1547702,"I have too rule, Stay out of my life, stay out of my wallet. Neither party follows the rules but the Republicans are slightly less likely to raid my wallet. I figure with less money there is less meddling."
US:185325667,Like the conservative media
US:125486481,People should help people
US:670658,I’m conservative and republicans are generally less liberal than democrats.
US:25724409,its what my dad was and just took it on as he did
US:100457741,Because I want every bidy to be treated like everyone else.
US:146221751,I can see both sides of a given argument
