person_id,when_decided_pid,prob_machine_generated,n_tokens,glimpse_criterion
US:173602741,History class,0.23,2,-5.928462541105569
US:205893495,don't know,0.36,3,-2.293573830847079
US:156890521,Awhile,0.31,2,-2.8309493674573263
US:145142163,When they were the only party supporting women and civil rights,0.27,11,-3.3726329752102635
US:197959305,When I was done with George W Bush.,0.22,9,-4.539408577493213
US:119367737,years ago,0.23,2,-5.950614861191519
US:1911433,1962,0.23,2,-4.1707816100099375
US:162822095,"I was raised in a democratic family. My friends & family are mostly democrats, and I respect their views & philosophies.",0.65,26,-0.5523818494640869
US:187445237,When Hillary Clinton colluded with Russia while making those samebaccusations against Trump. The Steele Dossier Was Hillary's brainchild and she paid for the entire thing.,0.23,35,-4.254382426011382
US:172544273,After 9/11.,0.39,6,-2.114060209093431
US:193067365,I became closer to the Republican Party during the 2016 elections.,0.56,14,-1.0564694420191367
US:165143077,When I learned you had to pick a party to vote at age 18,0.32,15,-2.759095032875365
US:121654045,Na,0.23,1,-4.162653026504952
US:172181269,As a young adult,0.85,4,0.597144145576886
US:173583521,20 years ago,0.5,3,-1.3866990518131532
US:39524742,When I voted for Reagan and began following politics back then.,0.23,12,-5.7436286436379
US:4541375,Probably 30 years ago have my overall beliefs,0.22,9,-5.576710433822992
US:108725141,when i was a child based on information my parents gave me about the party,0.29,15,-3.108227092084869
US:150560389,When democrats began supporting abortion,0.23,6,-4.339695153510981
US:1684571,I don't know,0.79,4,0.2193787796126488
US:25649585,After I escaped the cult I grew up in. Around 23.,0.22,14,-4.882953014241064
US:847351,Within the last 5 yrs.,0.34,7,-2.5346704106431583
US:31189999,they run the nation better,0.23,5,-5.744352084460784
US:134491761,In high school,0.54,3,-1.1714445006639997
US:40980076,I grew up in a Republican home where my parents believed the values of what the Republican Party stands for.,0.63,21,-0.6619187724931028
US:39487202,When I was in high school,0.9,6,1.0576219762622456
US:219765,When I first registered,0.47,4,-1.5580727440679176
US:4524173,When I was a young boy.,0.64,7,-0.6159078645516595
US:40810649,18 years of age,0.58,4,-0.9525169932851497
US:657185,As a teenager back in the 50s,0.5,9,-1.379013910072679
US:4554174,When I was 8 years old I understood the need to politically neutral as a Christian.,0.26,18,-3.5158235516168452
US:3803339,The first time I voted at age 18,0.63,9,-0.666038716430389
US:179601253,Probably 10-15 yrs ago,0.36,7,-2.377051171942826
US:198664945,At age to vote,0.24,4,-6.121548549452369
US:1882563,1979,0.23,2,-4.082708548274018
US:112176573,"Pretty much when I was a kid. My folks were strong Repubs, with Reagan getting elected the first political memory I have.",0.24,26,-3.907756242482753
US:189873961,When I registered at 18 years old,0.37,8,-2.2224725343822116
US:185768509,I’ve been a Republican my whole life even though my parents were democrats.,0.64,16,-0.6021701806018824
US:952128,Have always been,0.25,3,-3.7212342654825954
US:44263918,In 1976,0.71,4,-0.22146601361744142
US:192998525,When bill Clinton was president,0.34,5,-2.4937024789117928
US:124734113,1994,0.25,2,-3.795768523233782
US:155490711,During the first Trump administration,0.4,5,-2.0159380898174986
US:171211981,Age 18,0.38,3,-2.2048682343621104
US:171770213,The 2016 election,0.89,5,0.9281084200154502
US:39476131,Since I was 18,0.52,5,-1.272016313369165
US:167514971,When I voted for the first time.,0.42,8,-1.8555390038944302
US:180176203,Ever since my sister told me who side that I need to be on and who said she and my other family members are voting for,0.23,26,-4.430305612056209
US:40738035,Between 2010 and 3016,0.27,8,-3.3220983733850984
US:123309231,"I grew up in a Democratic household and used to be a red hot Democrat myself. That changed after the DNC nominated Clinton without giving the people a chance to nominate who THEY wanted. I left the party in disgust after the convention. I was (and still am) a staunch Sanders supporter and a progressive liberal. The Democratic Party, for all its failing, is still closer to my values and views than the Republican Party is.",0.59,85,-0.8540580947085727
US:46301537,2008,0.38,2,-2.135997334621634
US:183010911,Early 20s,0.31,4,-2.8099382428177484
US:28811090,When the Dichromats went too Far Left,0.29,9,-7.100942907235255
US:29698917,In college,0.3,2,-2.9461286076723385
US:2822153,I used to be a Republican back in the 80s and generally vote for the more conservative candidates. Since both parties are so corrupt I try to choose the lesser of the bad. Since Democrats are soooo far out in left field these days I may never vote for one again.,0.37,57,-2.254379111244731
US:40685102,several years ago.,0.62,5,-0.7280770026716366
US:35891660,Years ago,0.33,2,-2.6262582620540904
US:131256153,When I listened to Ronald Reagan.,0.24,7,-4.036127485376109
US:143605031,"In my early 20s, maybe 35 years ago.",0.28,13,-3.174443377980518
US:162974847,college,0.38,1,-8.01762236337824
US:30685517,age 18,0.24,3,-3.89051355598537
US:1076474,I used to be Republican,0.33,5,-2.611706902326154
US:164237327,Mid 80s,0.32,4,-2.6946757838413666
US:35161517,"1964, when I first voted.",0.3,8,-2.9764008522824796
US:2791746,When donald trump ran for president in his first term,0.29,11,-3.0184590929733126
US:39219816,When I was 18 & 1st registered to vote,0.33,12,-2.5622008161536804
US:41171744,10years ago,0.28,3,-3.264097662084178
US:196247799,In 1982,0.73,4,-0.12671077860993746
