person_id,when_think_pid,prob_machine_generated,n_tokens,glimpse_criterion
US:1971458,"I was a registered democrat for many years, so since 1986 when I turned 18 & started voting, I'm not a Democrat now because they are too center-right and I want a more leftist party, so I refuse to allow the Democrats to count me among their numbers.",0.35,57,-2.380253233619438
US:25693253,very early age,0.22,3,-4.754349360244123
US:1356750,"Once I got old enough to be a critical thinker and saw the damage Dems were doing, especially through welfare. Seeing the destruction of the family made me realize how dangerous progressive policies are.",0.28,37,-3.196497540593318
US:24686788,My entire life.,0.28,4,-3.214881242040238
US:2756600,i do not remember,0.49,4,-1.4508871582741276
US:40886750,When I turned 18,0.69,5,-0.3624667933520184
US:24286021,Teenager,0.42,2,-1.9061124262754956
US:2618768,as a kid,0.39,3,-2.123589513789688
US:4387382,When I was an undergraduate in college.,0.48,8,-1.519696026575768
US:644881,All my life.,0.33,4,-2.5970593626084963
US:166143775,1980,0.3,2,-2.97577091420927
US:1360387,Since I first voted,0.24,4,-3.972417290226673
US:42702920,around 3 yrs ago,0.27,5,-3.377627038589694
US:1514127,Decades ago but I still maintain an independent streak.,0.23,11,-4.188207036088084
US:2982035,year 2000,0.31,4,-2.786868476411984
US:26540215,At the age of 18,0.87,6,0.7961282673119959
US:40849686,After GW Bush started wars that were not winnable but I have always been more left leaning.,0.23,19,-4.166540226145371
US:117816353,Many years ago.,0.28,4,-3.2228477709627357
US:150923839,"I was in college when I first began identifying with the Democratic party. This was during the second George W. Bush administration, and then just as Obama was elected for the first time.",0.62,37,-0.7132146720459192
US:124625563,When i became a working guy.,0.23,7,-4.228271185998675
US:193544517,Less than 10 years ago,0.58,6,-0.9313021250141446
US:25684292,I became a Republican about 40 years ago.,0.41,10,-1.9364270440640297
US:905529,Yeats ago,0.24,3,-6.106199248910938
US:1760511,"When the Repub;icans started getting too ridiculous about personal freedoms, such as abortion rights. I agree on more (but definitely not all) issues with Dems, very few with Repubs.",0.22,39,-5.420400231606561
US:173699469,1982,0.25,2,-3.674125862124034
US:1338954,1972,0.24,2,-3.9290269118074503
US:3511083,4 years ago,0.51,3,-1.3374661630980937
US:2241418,From when I began learning about civics.,0.22,9,-4.895565595857495
US:196152185,When I became eligible to vote,0.49,6,-1.4409765907466687
US:190672873,Neither,0.22,1,-5.16749666868241
US:142547449,"Question doesn’t make sense, tech difficulties.",0.23,9,-5.8883343320981965
US:40091207,When I registered to vote at 20 years old. My Mom was Republican.,0.23,16,-4.415711846904658
US:1069632,About age 15,0.23,4,-4.291845474843292
US:29827873,Always,0.23,1,-4.413427954033356
US:172629231,Before I was eligible to vote,0.35,6,-2.4445213905382657
US:25273093,"I believe since Jr High,",0.27,6,-6.839191335886868
US:30051479,Like 10 years old.,0.29,6,-3.010434904025118
US:114029663,"Years ago, thought democrat gave too much money away to people who did not work etc",0.24,17,-6.316437884455188
US:39604099,"Around 10 years ago when things were getting out of control. Prices, etc.",0.27,17,-3.415026737514572
US:184757,"When the democrats started kissing up to the Illegals, LBGTQ communities, going against the police, Trying to do away with oil and gasoline for car fuels.",0.22,35,-4.511450121750913
US:206556815,No extra comment.,0.22,4,-4.646996117631968
US:46460721,I don't remember.,0.43,5,-1.8035584460082414
US:1850665,During Bill Clinton's administration. I had voted for him and he was a huge disappointment.,0.33,18,-2.583015235096456
US:182945995,1980,0.3,2,-2.97577091420927
US:184108145,When I realized Democrats were only looking out for their own pockets and those of other countries instead of America,0.24,20,-3.928874077588943
US:4529177,when I was old enough to vote and understand things,0.29,10,-3.0724937870515845
US:113003713,I don't care,0.62,4,-0.7258808083713051
US:27306590,In high school,0.54,3,-1.1714445006639997
US:1333030,1960,0.28,2,-3.17807639983699
US:167636091,In 1976 after President Carter turned his back on the middle class.,0.3,15,-2.9185395882254332
US:31654048,Just a few years as I don't like the choices as they aren't for the people!,0.25,19,-3.793739409675807
US:42325322,All my life had the belief that the individual should distinguish himself from the herd. If you are a leader you should have your own personality and not just run with the pack,0.57,34,-0.9846318246525886
US:3381436,About 50 years ago,0.54,5,-1.142612115107684
US:39519606,When President Obama was running.,0.22,6,-4.9749553503340636
US:125773167,Since the 1960s,0.72,6,-0.21187304801104528
US:504120,My first vote in a general election when I was 18.,0.47,13,-1.5309880970201302
US:46020779,I would not like to answer that question I have prefer not to,0.36,13,-2.377151177335915
US:40302394,When I was in college.,0.5,6,-1.3522417363031125
US:486980,Several years ago.,0.27,4,-3.2971985652646767
US:189577503,2016,0.36,2,-2.358311613479094
US:1938312,"like maybe after Carter, Clinton was okay. bushes were not really bad. but obama really did us dirty and Biden if he was actually running things really was bad too. also the democrats are so far left and say stuff but do the something else. the trans stuff!, they speak like communists, they are constantly using judges and saying bad things to people. & the republicans act like grown up people. I was raised catholic. do not go anymore to the church but can not live with things the democrats do anymore. so I would say the democrats lose me maybe forever with Obama.",0.6,122,-9.364896246201488
US:126731973,When I was in high school,0.9,6,1.0576219762622456
US:41275565,"So far it's always been the party most closely aligned with my more progressive beliefs, so probably my early 20's.",0.25,25,-3.760139058073111
US:2233268,1984,0.29,2,-3.0667429557189836
US:142251159,The Democrat party is closest to my views,0.37,8,-2.2725112096837603
US:171306697,when trunp ran in 2016,0.24,9,-3.824337901702065
US:3283005,not sure - it was a long time ago but my family always voted Republican,0.37,15,-2.2723192920997155
US:149003461,"Jan 6, 2021",0.75,7,-0.02655564418643002
US:31253152,My whole life,0.57,3,-0.9646398752253083
US:46744593,About 50 years ago,0.54,5,-1.142612115107684
US:2407403,About 10 years ago,0.62,5,-0.7034694035958664
US:1180967,Since the Covid epidemic,0.26,4,-3.5384318203096483
US:1476228,The first time I voted,0.7,5,-0.29416368627205036
US:28205090,3RD GRADE,0.29,4,-3.010292463652417
US:100880745,When I voted in the 2016 election.,0.4,10,-2.021140654646178
US:186835863,At 18 years old,0.59,5,-0.8859498384463295
US:1379380,When Bill Clinton was President.,0.3,6,-2.9137845193845036
US:28482816,At 21 years old,0.58,5,-0.9159711123044231
US:486634,The first time Donald Trump ran for president,0.66,8,-0.51855459439023
US:174822949,2016,0.36,2,-2.358311613479094
US:139527795,Always,0.23,1,-4.413427954033356
US:167873871,A long time ago,0.87,4,0.7446733979419339
US:192371409,The left democrats lost common sense ever since Obama left office.,0.24,13,-3.978730979690168
US:2898489,1974,0.23,2,-4.10283290413846
US:546515,"People who believe in a strong middle class, workers, women’s, lbgqt and civil rights just to name a few. No oligarchs or kings and that everyone in the country has the right to due process under the law.",0.24,47,-4.047989374152481
US:186211393,When I was 10,0.87,5,0.8033675271801572
US:32243182,"When the democrats made their entire party platform about catering to minorities and trannies, I knew they didn’t want my vote anymore.",0.35,27,-2.39798317562979
US:128742039,2008,0.38,2,-2.135997334621634
US:131189495,"During Biden's term, especially as he got worse and worse. I wondered who was running the country.",0.26,21,-3.476545246338829
US:22505108,when i was able to understand politics,0.24,7,-3.8251425417204112
US:108650,my entire life,0.29,3,-3.0641805886869107
US:108070083,When their views were closest to mine,0.23,7,-4.127342861617817
US:290784,In high school,0.54,3,-1.1714445006639997
US:1846540,1967,0.24,2,-3.9927765958519337
US:40795041,I was a Democrat for more than 30 years but the party moved radically to the left so I changed to an Independent.,0.46,25,-1.6092752447277263
US:126130405,When neither would do anything about a convicted felon running for the Presidency. The Democrats or Republicans cannot be trusted.,0.32,22,-2.7504326007942956
US:40967547,2000,0.48,2,-1.514072093272649
US:138532473,Not sure but maybe in 2000.,0.31,9,-2.8274719676333175
US:135625361,When I realized how liberal the Democrats are.,0.27,9,-3.376139462068086
US:143489809,middle school,0.23,2,-5.923853694005513
US:176733001,"For as long as I can remember, I've considered myself a Democrat. I'm elementary school and junior high school, I learned about the two main political and what each party supported. Democrats seemed to care about all different types of people. They were enacting laws that helped people become better versions of themselves or helping people during difficult times.",0.33,68,-2.626180450197328
US:31331333,When I could first vote as an 18 year old in 1970,0.24,15,-3.8732103920377403
US:194162167,When I first voted,0.34,4,-2.555035607051731
US:3085239,neither,0.25,2,-3.7708576092200716
US:27240065,Age 30,0.36,3,-2.3540388880341117
US:37453797,After 9/11,0.67,5,-0.4639970687905352
US:1582048,As a child growing up in a Republican family.,0.4,10,-2.0371934151197317
US:143509995,I’ve always thought of myself as a democrat,0.75,9,0.009315525983755221
US:165320667,it was in my DNA and I acted upon it when I became aware of what was going on in America.,0.37,22,-2.2690985901713896
US:25773417,"Around the 2008 election, which was my first election",0.59,12,-0.8581445968488234
US:142456337,After Obama came into office and ruined the Country.,0.23,10,-4.259801006751215
US:128058639,"When Trump first got in as president, because help helped. But it's gona get better",0.24,19,-6.240032077550951
US:121183699,Ever since I could vote,0.29,5,-3.1228293909019977
US:128079483,I don’t remember,0.63,4,-0.6568900427420703
US:28390583,NEITHER DO WHAT THEY SHOULD,0.25,6,-3.6109139056705097
US:4319079,When democrats encouraged rioting and soft on immigration,0.23,10,-5.902131501683385
US:27535402,When Hilary was debating Donald during the 2016 election cycle.,0.25,14,-3.621532703913609
US:2279772,For a long time,0.87,4,0.7896688338688015
US:1426621,When I realized the ethos of the Republican party and well before I could even vote.,0.25,17,-3.6798709539355734
US:2351490,When I Left The Military and Entered the University...,0.24,10,-3.9831883044389755
US:41955514,Probably all my adult life,0.26,5,-3.439847479823567
US:126803469,Very young,0.22,2,-4.467035694530702
US:4156057,As long as I can remember,0.76,6,0.03572547107001913
US:25896055,Always,0.23,1,-4.413427954033356
US:37840851,When I started voting.,0.22,5,-4.660063425888877
US:42611179,When Obama took our country so far to the Left. He began to divide this country along racial lines and pitted everyone against everyone else.,0.32,28,-2.7579124725229693
US:117878507,This year since dictator trump was elected with sidekick musk,0.27,12,-6.811723087452076
US:3008494,Since I started voting,0.22,4,-4.690578374455941
US:2882424,Quite some time ago especially when Ronald Reagan ran for Governor of my state and then for President.,0.23,19,-6.0004241005214585
US:27286398,Very early on when I was able to vote as I support less government and more responsibility for people to take care of themselves.,0.28,25,-3.2683820720032615
US:33145216,when I was hearing about the 1960 election as a child,0.35,13,-2.412131373816453
US:2417808,after voting for ronald reagon,0.24,7,-6.334240213432677
US:3711871,When Bidan was elected President.Totl,0.49,9,-8.742600250708273
US:22479083,My parents made me register Democrat when I turned 18. They said that people died for my right to vote so I am obliged to do it.,0.33,30,-2.6238805500719664
US:45832991,In 2016,0.84,4,0.5259279650871258
US:373594,15 years ago,0.53,3,-1.1747781181724044
US:24551849,In the 1980s.,0.58,7,-0.9224382212905281
US:26440196,When I registered to vote at 18,0.46,8,-1.6387361760162773
US:113353081,1975,0.24,2,-3.979079289446153
US:161653365,Neither party is a match for my ideals as they both have things I agree with and things I don’t and neither will negotiate and both are too extreme,0.4,30,-2.0038704732438184
US:4274808,When I first started voting.,0.25,6,-3.750601430088749
US:597116,1966,0.23,2,-4.137742862395573
US:670080,Since I was able to vote.,0.24,7,-4.078348559362374
US:1804280,60 years ago,0.39,3,-2.119062810797009
US:30701219,When I started 5th grade,0.56,7,-1.0221895788441773
US:990540,when i was 24 years old,0.48,7,-1.4885219194399308
US:163989631,1969,0.25,2,-3.639643283865915
US:137783195,My first vote for a Democrat President was Obama.,0.47,10,-1.5409488191873875
US:112049047,During Ronald Reagan's presidency.,0.22,6,-5.128850142508681
US:28491293,After Richard Nixon resigned,0.35,4,-2.4256216823349335
US:150431611,"In my late teens, in the mid 1980's",0.42,12,-1.8953940857215856
US:35905672,Unknown,0.25,1,-3.7058855111295883
US:41217056,When I became legally able to vote.,0.25,8,-3.687639784984609
US:172489391,When Ronald Reagan was elected President,0.6,6,-0.8328547937487821
US:4482809,im not sure,0.32,3,-2.718279110347643
US:186669327,Not sure when. Probably when deciding first election voted in on who voting for,0.42,15,-8.298782273729667
US:40022218,Middle school,0.27,2,-3.2976367702651275
US:1421994,1980. When Reagan beat Carter and started destroying the country,0.3,12,-2.8940392893889673
US:139758105,I refuse to join either party since I have little respect for either of them. I am closer to the democrats because of Trump and all the republican who follow and support him. I find to be cowards who refuse to stand up to Trump and his autocratic ways.,0.35,55,-2.417651940227871
US:40943555,in 1974 when i voted for nixon,0.32,10,-2.7603314409973283
US:199829417,Back in 2015 before the 2016 election..,0.39,12,-2.080989339551781
US:1729988,When I was born,0.77,4,0.10435032082259336
US:1130607,Probably about 3 or 4 decades ago.,0.35,10,-2.4610729587908065
US:178340357,"It’s been 5 years or so since I withdrew my affiliation with the Democratic Party. I’ve become quite disillusioned with our government and politicos. Now both parties are repugnant and demonstrating little, if any, regard for the Constitution and our check and balance system.",0.36,56,-2.3515894663928467
US:139599977,Since I was able to vote at age 18.,0.27,11,-3.407870518673898
US:3351511,When I waz old enough to register to vote.,0.24,11,-3.9005327651251434
US:1625340,1976,0.23,2,-4.140705501712556
US:939207,"There was a time when I was closer to the Republican party, but with the current Federal government things are different and the will of the common people are not recognized now. The Democratic party is now closer to democracy, the Republican party is clearly getting away from democracy.",0.29,53,-3.0076216341647832
US:168601691,1970,0.28,2,-3.14481343197934
